"нужда в картата на А","покрива се в картата на Б"
"Марс в Телец","Марс в Телец или Везни; Марс в 2-ри или 7-и дом; Марс в аспект с Венера; Марс в един знак с Венера"
"Марс в Близнаци","Марс в Близнаци или Дева; Марс в 3-ти или 6-и дом; Марс в аспект с Меркурий; Марс в един знак с Меркурий"
"Марс в Рак","Марс в Рак; Марс в 4-ти дом; Марс в аспект с Луната; Марс в един знак с Луната"
"Марс в Лъв","Марс в Лъв; Марс в 5-и дом; Марс в аспект със Слънцето; Марс в един знак със Слънцето"
"Марс в Дева","Марс в Близнаци или Дева; Марс в 3-ти или 6-и дом; Марс в аспект с Меркурий; Марс в един знак с Меркурий"
"Марс в Везни","Марс в Телец или Везни; Марс в 2-ри или 7-и дом; Марс в аспект с Венера; Марс в един знак с Венера"
"Марс в Скорпион","не ражда нужда — точката стои в собствения си знак"
"Марс в Стрелец","Марс в Стрелец или Риби; Марс в 9-и или 12-и дом; Марс в аспект с Юпитер; Марс в един знак с Юпитер"
"Марс в Козирог","Марс в Козирог или Водолей; Марс в 10-и или 11-и дом; Марс в аспект със Сатурн; Марс в един знак със Сатурн"
"Марс в Водолей","Марс в Козирог или Водолей; Марс в 10-и или 11-и дом; Марс в аспект със Сатурн; Марс в един знак със Сатурн"
"Марс в Риби","Марс в Стрелец или Риби; Марс в 9-и или 12-и дом; Марс в аспект с Юпитер; Марс в един знак с Юпитер"
"Луна в аспект със Слънцето","Луна в Лъв; Луна в 5-и дом; Луна в аспект със Слънцето; Луна в един знак със Слънцето"
"Луна в аспект с Меркурий","Луна в Близнаци или Дева; Луна в 3-ти или 6-и дом; Луна в аспект с Меркурий; Луна в един знак с Меркурий"
"Луна в аспект с Венера","Луна в Телец или Везни; Луна в 2-ри или 7-и дом; Луна в аспект с Венера; Луна в един знак с Венера"
"Луна в аспект с Марс","Луна в Овен или Скорпион; Луна в 1-ви или 8-и дом; Луна в аспект с Марс; Луна в един знак с Марс"
"Луна в аспект с Юпитер","Луна в Стрелец или Риби; Луна в 9-и или 12-и дом; Луна в аспект с Юпитер; Луна в един знак с Юпитер"
"Луна в аспект със Сатурн","Луна в Козирог или Водолей; Луна в 10-и или 11-и дом; Луна в аспект със Сатурн; Луна в един знак със Сатурн"
"Слънце в аспект с Луната","Слънце в Рак; Слънце в 4-ти дом; Слънце в аспект с Луната; Слънце в един знак с Луната"
"Слънце в аспект с Меркурий","Слънце в Близнаци или Дева; Слънце в 3-ти или 6-и дом; Слънце в аспект с Меркурий; Слънце в един знак с Меркурий"
"Слънце в аспект с Венера","Слънце в Телец или Везни; Слънце в 2-ри или 7-и дом; Слънце в аспект с Венера; Слънце в един знак с Венера"
"Слънце в аспект с Марс","Слънце в Овен или Скорпион; Слънце в 1-ви или 8-и дом; Слънце в аспект с Марс; Слънце в един знак с Марс"
"Слънце в аспект с Юпитер","Слънце в Стрелец или Риби; Слънце в 9-и или 12-и дом; Слънце в аспект с Юпитер; Слънце в един знак с Юпитер"
"Слънце в аспект със Сатурн","Слънце в Козирог или Водолей; Слънце в 10-и или 11-и дом; Слънце в аспект със Сатурн; Слънце в един знак със Сатурн"
"Венера в аспект със Слънцето","Венера в Лъв; Венера в 5-и дом; Венера в аспект със Слънцето; Венера в един знак със Слънцето"
"Венера в аспект с Луната","Венера в Рак; Венера в 4-ти дом; Венера в аспект с Луната; Венера в един знак с Луната"
"Венера в аспект с Меркурий","Венера в Близнаци или Дева; Венера в 3-ти или 6-и дом; Венера в аспект с Меркурий; Венера в един знак с Меркурий"
"Венера в аспект с Марс","Венера в Овен или Скорпион; Венера в 1-ви или 8-и дом; Венера в аспект с Марс; Венера в един знак с Марс"
"Венера в аспект с Юпитер","Венера в Стрелец или Риби; Венера в 9-и или 12-и дом; Венера в аспект с Юпитер; Венера в един знак с Юпитер"
"Венера в аспект със Сатурн","Венера в Козирог или Водолей; Венера в 10-и или 11-и дом; Венера в аспект със Сатурн; Венера в един знак със Сатурн"
"Меркурий в аспект със Слънцето","Меркурий в Лъв; Меркурий в 5-и дом; Меркурий в аспект със Слънцето; Меркурий в един знак със Слънцето"
"Меркурий в аспект с Луната","Меркурий в Рак; Меркурий в 4-ти дом; Меркурий в аспект с Луната; Меркурий в един знак с Луната"
"Меркурий в аспект с Венера","Меркурий в Телец или Везни; Меркурий в 2-ри или 7-и дом; Меркурий в аспект с Венера; Меркурий в един знак с Венера"
"Меркурий в аспект с Марс","Меркурий в Овен или Скорпион; Меркурий в 1-ви или 8-и дом; Меркурий в аспект с Марс; Меркурий в един знак с Марс"
"Меркурий в аспект с Юпитер","Меркурий в Стрелец или Риби; Меркурий в 9-и или 12-и дом; Меркурий в аспект с Юпитер; Меркурий в един знак с Юпитер"
"Меркурий в аспект със Сатурн","Меркурий в Козирог или Водолей; Меркурий в 10-и или 11-и дом; Меркурий в аспект със Сатурн; Меркурий в един знак със Сатурн"
"Марс в аспект със Слънцето","Марс в Лъв; Марс в 5-и дом; Марс в аспект със Слънцето; Марс в един знак със Слънцето"
"Марс в аспект с Луната","Марс в Рак; Марс в 4-ти дом; Марс в аспект с Луната; Марс в един знак с Луната"
"Марс в аспект с Меркурий","Марс в Близнаци или Дева; Марс в 3-ти или 6-и дом; Марс в аспект с Меркурий; Марс в един знак с Меркурий"
"Марс в аспект с Венера","Марс в Телец или Везни; Марс в 2-ри или 7-и дом; Марс в аспект с Венера; Марс в един знак с Венера"
"Марс в аспект с Юпитер","Марс в Стрелец или Риби; Марс в 9-и или 12-и дом; Марс в аспект с Юпитер; Марс в един знак с Юпитер"
"Марс в аспект със Сатурн","Марс в Козирог или Водолей; Марс в 10-и или 11-и дом; Марс в аспект със Сатурн; Марс в един знак със Сатурн"
"Луна в труден аспект с Уран","Луна в лесен аспект с Уран; Луна в съвпад с Уран; Луна в един знак с Уран"
"Луна в лесен аспект или съвпад с Уран","Луна в какъвто и да е аспект с Уран; Луна в един знак с Уран"
"Луна в труден аспект с Нептун","Луна в лесен аспект с Нептун; Луна в съвпад с Нептун; Луна в един знак с Нептун"
"Луна в лесен аспект или съвпад с Нептун","Луна в какъвто и да е аспект с Нептун; Луна в един знак с Нептун"
"Луна в труден аспект с Плутон","Луна в лесен аспект с Плутон; Луна в съвпад с Плутон; Луна в един знак с Плутон"
"Луна в лесен аспект или съвпад с Плутон","Луна в какъвто и да е аспект с Плутон; Луна в един знак с Плутон"
